 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 3.81652e-01 0.00000e+00 1.97874e-01 4.23344e+08 -7.04301e+08 0.00000e+00 -9.85948e+08 -2.31629e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.06401e+09 1 8.76723e-04 0.00000e+00 3.38165e+00 0.00000e+00
0.00000e+00 3.87556e-01 0.00000e+00 1.97874e-01 1.03644e+09 -6.84095e+08 0.00000e+00 -1.03418e+09 3.35827e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.47007e+08 1 8.89962e-04 0.00000e+00 3.38756e+00 0.00000e+00
0.00000e+00 3.93351e-01 0.00000e+00 1.97874e-01 8.71983e+08 -6.93256e+08 0.00000e+00 -1.02675e+09 1.83333e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.26672e+08 1 9.03200e-04 0.00000e+00 3.39335e+00 0.00000e+00
0.00000e+00 3.99114e-01 0.00000e+00 1.97874e-01 5.30774e+08 -7.08577e+08 0.00000e+00 -1.00555e+09 -1.55151e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.01661e+09 1 9.16438e-04 0.00000e+00 3.39911e+00 0.00000e+00
0.00000e+00 4.05028e-01 0.00000e+00 1.97874e-01 1.21757e+09 -6.79328e+08 0.00000e+00 -1.05032e+09 4.81789e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.51176e+08 1 9.29677e-04 0.00000e+00 3.40503e+00 0.00000e+00
0.00000e+00 4.10750e-01 0.00000e+00 1.97874e-01 6.65736e+08 -6.79778e+08 0.00000e+00 -9.81194e+08 -9.98363e+07 0.00000e+00 0.00000e+00 0.00000e+00 -9.52755e+08 1 9.42915e-04 0.00000e+00 3.41075e+00 0.00000e+00
0.00000e+00 4.16598e-01 0.00000e+00 1.97874e-01 8.57447e+08 -6.98880e+08 0.00000e+00 -1.03224e+09 8.36004e+07 0.00000e+00 0.00000e+00 0.00000e+00 -8.72970e+08 1 9.56154e-04 0.00000e+00 3.41660e+00 0.00000e+00
0.00000e+00 4.22473e-01 0.00000e+00 1.97874e-01 1.16883e+09 -6.88902e+08 0.00000e+00 -1.05794e+09 4.22350e+08 0.00000e+00 0.00000e+00 0.00000e+00 -6.75739e+08 1 9.69392e-04 0.00000e+00 3.42247e+00 0.00000e+00
0.00000e+00 4.28178e-01 0.00000e+00 1.97874e-01 6.00102e+08 -6.79710e+08 0.00000e+00 -9.72587e+08 -2.31943e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.98666e+08 1 9.82631e-04 0.00000e+00 3.42818e+00 0.00000e+00
0.00000e+00 4.34077e-01 0.00000e+00 1.97874e-01 1.18275e+09 -6.72434e+08 0.00000e+00 -1.03508e+09 3.23960e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.21607e+08 1 9.95869e-04 0.00000e+00 3.43408e+00 0.00000e+00
0.00000e+00 4.39879e-01 0.00000e+00 1.97874e-01 1.02823e+09 -6.91045e+08 0.00000e+00 -1.04257e+09 1.94760e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.71192e+08 1 1.00911e-03 0.00000e+00 3.43988e+00 0.00000e+00
0.00000e+00 4.45630e-01 0.00000e+00 1.97874e-01 7.58140e+08 -6.85214e+08 0.00000e+00 -9.99985e+08 -1.34988e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.32055e+08 1 1.02126e-03 0.00000e+00 3.44563e+00 0.00000e+00
